rating,review_title,review_description,date,location,up_votes,down_votes
5,Fabulous!,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome",4 months ago,", Debipur",7504,1005
5,Great product,50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy ,3 months ago,", Rajgarh",1184,165
5,Best in the market!,See Low light photos are amazing..,6 months ago,", Mahrajganj Mahrajganj District",3316,622
5,Must buy!,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",4 months ago,", Bhubaneswar",987,206
5,Fabulous!,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.",4 months ago,", Bagula",2455,645
5,Classy product,Just awesome!!,3 months ago,", New Delhi",102,21
5,Perfect product!,"I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. ",4 months ago,", Thakurdwara",177,65
5,Classy product,Camera is best. Battery giving a full day. Speaker sounds wide and clear. ,4 months ago,", Behea",291,122
5,Fabulous!,Must buy!!,4 months ago,", Mumbai",182,81
5,Highly recommended,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.",7 months ago,", Bathinda",380,264
5,Perfect product!,Nice...,6 months ago,", Uska Bazar",1,1
5,Excellent,This is best of everything,6 months ago,", Jaipur",1,1
1,Useless product,"Only performance good.. battery service is very bad, display size or feel  2014 genaration phone, oneplus, nothing phone is best..",4 months ago,", Maldah District",5,20
2,Bad quality,Battery too much drain. Camera not Gud,2 months ago,", Hyderabad",2,5
3,Decent product,Camera quality is not good just like some 6-7k smartphone,3 months ago,", Greater Noida",2,5
5,Just wow!,Totally worth selling your kidney and buying this amazing phone. Camera makes this phone A+,3 months ago,", Siliguri",4,17
5,Terrific purchase,thankssss filpkart 😘😘😘😘,3 months ago,", Jodhpur",3,12
4,Pretty good,In my opinion is iPhone 13 is best deal👍🏻,11 days ago,", Ranchi District",1,2
5,Wonderful,Nice apple 😝,1 month ago,", New Delhi",1,2
5,Highly recommended,Value for money,1 month ago,", Kim",1,2
5,Must buy!,Very nice,3 months ago,", Supaul",1,0
5,Great product,Good and amazing product and camera are sexy,3 months ago,", Ranchi",1,0
5,Great product,Good,3 months ago,", New Delhi",1,0
5,Fabulous!,Best ever phone I have ever experienced.,3 months ago,", New Delhi",1,0
4,Delightful,Fabulous mobile phone. Fall in ❤😘 with apple. First apple product to use.,3 months ago,", Fatehabad District",1,0
5,Simply awesome,Great experience.,3 months ago,", Raigarh District",1,0
4,Delightful,good but price is high,3 months ago,", Ghaziabad",1,0
5,Great product,I obsessed with my i phone 14,3 months ago,", New Delhi",1,0
5,Must buy!,product is awesome but price is little high,3 months ago,", Muzaffarnagar",1,0
5,Excellent,"From Android to ios , Very good Experience , Videos and Photos Quality are Far Better than mobile I have used in the past",3 months ago,", Jhabua",1,0
1,Hated it!,Heating issue. Phone gets heated on charing. on using camera sometimes on idle.,1 month ago,", Hyderabad",3,5
4,Good,Waste of 70K. Ten thousand rupees Android phones worked better for me.,3 months ago,", New Delhi",3,5
5,Worth every penny,Go for it only for showoff,7 months ago,", New Delhi",3,5
1,Hated it!,This phone is good i use phone in 20 days than I realised the phone is very well,6 months ago,", New Delhi",12,40
5,Terrific purchase,"Loved it, my first iphone btw box quality wasnt good",2 months ago,", Kanpur",2,3
3,Does the job,Bad,5 months ago,", Sitamarhi District",3,7
5,Terrific,Just awesome.,2 months ago,", Lucknow",2,4
5,Terrific purchase,Its picture quality low,3 months ago,", Bhubaneswar",2,4
5,Perfect product!,Excellent smart phone under best price😎,7 days ago,", Kolkata",1,1
5,Mind-blowing purchase,Super ❤️,12 days ago,", Rae Bareli",1,1
4,Value-for-money,Good phone ,3 months ago,", Anand District",1,0
5,Wonderful,Nice in one,3 months ago,", Bengaluru",0,0
5,Brilliant,I love the phone i purchased it to gift my husband the camera battery everything is fine thanks a lot for the fast delivery,3 months ago,", Vidisha",1,0
5,Super!,Thanks,3 months ago,", New Delhi",1,0
5,Fabulous!,Premium feel ..i phone 14 black colour best phone..*****,4 months ago,", Uttar Satali",1,0
5,Classy product,My dream phone,4 months ago,", Mumbai",1,0
