rating,review_title,review_description,date,location,up_votes,down_votes
4,Pretty good,Built quality is very good. Bass is a bit too high to listen for longer periods. You may experience mild ear pain.,"Jul, 2019",", Visakhapatnam",3289,594
5,Worth every penny,"If you love bass go for it, but if you rather prefer smooth and balanced sound, this will not please you...","Aug, 2019",", Mumbai",5543,1022
5,Best in the market!,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product.","Oct, 2019",", Mohali",624,111
5,Perfect product!,"Cute color, wonderful sound and fits good to ear. I am using these for a week now and I'm really liking it.","Feb, 2020",", Etawah",599,108
5,Excellent,very good product in this price segment,"May, 2020",", Udaipur",2505,524
5,Worth every penny,Bass is not high that's a pretty good thing.,"May, 2019",", Karimganj",2742,588
5,Perfect product!,Vocal is also good.,"Jul, 2018",", Indore",257,45
4,Good choice,overall it's value for money.,"Jul, 2018",", Katwa",478,95
5,Excellent,ND Flipkart delivered it to me in 2 days that's also good.,"Nov, 2019",", Dewas",825,178
5,Must buy!,They are just awesome . no less then JBL. vocals and both are in balance.clear sound even at highest volume. And its pretty good loud too. Totally satisfied at this price.,"May, 2020",", Allahabad",169,30
5,Fabulous!,Mast Ekach Number.. Not irritated at high volume also.. Fast delivery during knockdown.. Nice packaging original product with warranty card and manual.. I am Happy 😊 #music lover,"May, 2020",", Solapur",0,0
3,Good,"So , i will be totally honest about this. ","May, 2020",", Balangir",0,0
5,Wonderful,I was expecting very good quality but this didn't  performed  that well.,"May, 2020",", Karkala",0,0
5,Wonderful,The sound levels are not balanced and bass is also low.,"May, 2020",", Malayinkeezhu",0,0
5,Great product,You will not notice it until you compare it any other earphone. ,"May, 2020",", Sonari",0,0
5,Simply awesome,I compared it with my Realme Buds 2 wired earphone and Boat didn't even come close to it.,"May, 2020",", Jhansi",0,0
5,Fabulous!,I had listened so much about Boat Company but i came to know its quality after i I used it.,"May, 2020",", Chhindwara",1,0
4,Really Nice,The built quality is decent but sound quality is not upto the mark.,"May, 2020",", Ghaziabad",0,0
5,Terrific purchase,I suggest ...,"May, 2020",", Bijapur",0,0
3,Nice,"Very good and durable earphones! I have used JBL, Skullcandy earphones, but they are not durable as this peice of Jem! Reasonable and worth a buy for daily rough use!","May, 2020",", Bhandara",0,0
4,Worth the money,I have 6 earphones right now & if I compare this to all then this is just a ordinary earphone with good sound quality with an okay design. It design is not as good as it is mentioned in the ratings it's kind of delicate.,"Feb, 2020",", Ponda",1,0
5,Terrific purchase,Thank you so much... Nice product with affordable price and good way of delivery,"Feb, 2020",", Namakkal District",0,0
5,Highly recommended,I really like the product I really love this color of earphones it's one of my favorite one should definitely buy it as sound quality was also really nice bass is good if handled with care can be used for long time I loved my this purchase from flipkart thankyou flilkart and packaging was also good delivered in time,"Feb, 2020",", Dehradun",0,0
5,Must buy!,"Great product from  A great company,  and such a fast delivery from u guys.... appreciated and thankful for ur efforts...","Feb, 2020",", Kumarakom",0,0
5,Must buy!,"This is an extremely good earphone from boat.... With good life, good sound quality and at an amazing price tag. I am quite happy with this purchase and will continue to trust BOAT brand for its products.","Feb, 2020",", Patna",0,0
5,Classy product,Great sound quality and build quality ,"Feb, 2020",", New Delhi",0,0
5,Just wow!,Good enough bass but not enough to hit the sweet spot,"Feb, 2020",", Mejia Thermal Power Township",0,0
3,Does the job,I think it's a nice product sound quality is pretty good also with a high quality bass and nicely designed in this price so value of money,"Feb, 2020",", Jodhpur",0,0
4,Worth the money,It works fine with every smartphone brand but sometimes it may not be that handy while inserting in the aux hole. Also it doesn't work when connected in desktop CPU. Everything else is super nice in it.,"Feb, 2020",", Mumbai",0,0
5,Simply awesome,"The boat weired earphones are best in all parts like sound, bass n all and flipkart has delivered in time with proper delivery venue. And the boat earphones are best. My invested money is not waste. Great experience with this earphones.","Feb, 2020",", Visakhapatnam",0,0
5,Terrific purchase,"Decent headsets with decent amount of bass. If you are a bass lover, then this might not be the choice (boAt Rockerz Bluetooth Wireless are too good when it comes to bass). Rest, it maintains a perfect balance between bass and treble.","Jun, 2020",", Mahindra World City",0,0
5,Super!,Go for it if you are not fond of high bass. ,"Jun, 2020",", Panihati",0,0
5,Highly recommended,"Cons - feels very delicate because of its thin wires, but if handled carefully, they are really good at this price point. ","Jun, 2020",", Talegaon Dabhade",0,0
4,Value-for-money,"Overall, 8/10.","Jun, 2020",", Siliguri",0,0
5,Simply awesome,Very nice product. I gifted this to my brother on his birthday and he is really happy with the output of it. Thanks Flipkart,"Jun, 2020",", Thane",0,0
5,Just wow!,"Writing this review after using this headphone completely for 5 months. It was delivered to me on 1st Jan and till now it is in very good condition. The bass, volume, sound quality, wire quality everything is very very very good. Happy with boAt BassHeads 100 Wired Headset..Thanks Flipcart for selling such a good product...","May, 2020",", Patiala",0,0
5,Just wow!,Delivery of this product take much time But delivery boy was good he took precautions before giving this product to me and about the product I will say #AWESOME You must buy this the sound quality is good and the bass is superb This earphones make the sound clear and detailed. But Flipkart should give fast delivery.,"May, 2020",", Kolkata",0,0
5,Simply awesome,"It is good in sound, design & Body. #boAt♥Thanks.","May, 2020",", Raigarh District",0,0
5,Terrific purchase,"It is just arrived now(01/06/2020), I ordered on 31/05/2020_shows quick & proper delivery of goods. ","May, 2020",", Navi Mumbai",0,0
5,Brilliant,Thanks Flipkart for such a good service.,"May, 2020",", Bidhan Nagar",0,0
4,Value-for-money,Everything is good with this earphone. But there are few draw backs as well for example I tried this with MI and SAMSUNG AND OPPO. among them it worked very good with MI only..,"May, 2020",", Noida",0,0
4,Really Nice,"Pretty instrumental device. Good quality sound. Listening to ASMR is just stunning. Just a month old to me, can't comment on its durability right now.","Apr, 2020",", Kolkata",0,0
5,Awesome,"Good sound quality, best build design, volume and bass is good...... Flipkart service is better in other shopping companies.... thank you Flipkart","Apr, 2020",", Ahmadnagar District",0,0
4,Good quality product,Good one in this price range@400.,"Mar, 2020",", Nizamabad District",0,0
4,Really Nice,"Really liked the sound quality, material could be much better but overall nice one from boat","Mar, 2020",", Chennai",0,0
5,Simply awesome,A well Balanced Design with good sound quality with balanced bass.,"Mar, 2020",", Tnpl Pugalur",0,0
5,Must buy!,Stylish and comfortable to wear. Isolates the sound very well from external noise. Sound quality is good which is worthy at this price range. Highly recommended.,"Mar, 2020",", Ahmedabad",0,1
4,Very Good,So So so good and very best base... and wire quality is a best of all . i like this eaephone ♥️♥️,"Mar, 2020",", Aurangabad",0,0
4,Delightful,Best quality. Company service is good. Worth for money. I'm really happy with this product. Nice product.,"Mar, 2020",", Chak Kanthalia",0,0
5,Wonderful,All Good but the bass is too low I suggest you to buy for this super smooth bass and sound quality.,"Mar, 2020",", Chennai",0,0
5,Great product,Awesome product I like it best quality bass sound design amazing worth for price,"Jun, 2020",", Pune",0,0
5,Worth every penny,Nice budget earphones to buy.,"Jun, 2020",", Noida",0,0
4,Really Nice,Wire seems to be quite delicate so i bought a earphones case to protect this.,"Jun, 2020",", Alwar",0,0
5,Best in the market!,Overall sound quality is best in class.,"Jun, 2020",", Dubrajpur",0,0
5,Brilliant,Go for it.,"Jun, 2020",", Vuyyuru",0,0
5,Brilliant,"Very well product 👍 go for it without hesitation. The bass of this headset is not that much boasted, although good bass and very well sound quality. In this range 💪 boat is offering a very good deal. Don't miss it.","Jun, 2020",", Pattambi",0,0
